หมวดหมู่,ชื่อไฟล์,ขนาด (MB),ความสำคัญ,คำแนะนำ
📋 เอกสารและ README,QUICK_START.md,0.001,🟢 ปานกลาง,📝 เอกสาร - commit ได้
📋 เอกสารและ README,README.md,0.03,🔴 สำคัญมาก,✅ ควร commit
📋 เอกสารและ README,README_REFACTORED.md,0.003,🔴 สำคัญมาก,✅ ควร commit
📋 เอกสารและ README,README_SETUP.md,0.0,🔴 สำคัญมาก,✅ ควร commit
📋 เอกสารและ README,README_TRACKING.md,0.028,🔴 สำคัญมาก,✅ ควร commit
📋 เอกสารและ README,README_ULTIMATE_FIX.md,0.0,🔴 สำคัญมาก,✅ ควร commit
📋 เอกสารและ README,REALTIME_PIPELINE_STATUS.md,0.003,🟢 ปานกลาง,📝 เอกสาร - commit ได้
📋 เอกสารและ README,REFACTORING_GUIDE.md,0.006,🟢 ปานกลาง,📝 เอกสาร - commit ได้
📋 เอกสารและ README,SETUP_COMPLETE.md,0.01,🟢 ปานกลาง,📝 เอกสาร - commit ได้
📋 เอกสารและ README,SETUP_COMPLETE_SUMMARY.md,0.008,🟢 ปานกลาง,📝 เอกสาร - commit ได้
📋 เอกสารและ README,SETUP_REPORT.md,0.007,🟢 ปานกลาง,📝 เอกสาร - commit ได้
📋 เอกสารและ README,SYNTAX_FIX_COMPLETE_REPORT.md,0.002,🟢 ปานกลาง,📝 เอกสาร - commit ได้
📋 เอกสารและ README,TRACKING_DOCUMENTATION.md,0.017,🟢 ปานกลาง,📝 เอกสาร - commit ได้
📋 เอกสารและ README,ULTIMATE_FIXES_SUMMARY.md,0.004,🟢 ปานกลาง,📝 เอกสาร - commit ได้
📋 เอกสารและ README,USAGE_QUICK_REFERENCE.md,0.005,🟢 ปานกลาง,📝 เอกสาร - commit ได้
📋 เอกสารและ README,WORKSPACE_COMMANDS_GUIDE.md,0.002,🟢 ปานกลาง,📝 เอกสาร - commit ได้
📋 เอกสารและ README,WORKSPACE_ORGANIZATION.md,0.001,🟢 ปานกลาง,📝 เอกสาร - commit ได้
📋 เอกสารและ README,docker-compose.yml,0.002,🟡 สำคัญ,✅ ควร commit
📋 เอกสารและ README,production_roadmap.md,0.006,🟢 ปานกลาง,📝 เอกสาร - commit ได้
⚙️ ไฟล์ Configuration,.env.example,0.001,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
⚙️ ไฟล์ Configuration,.env.production,0.001,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
⚙️ ไฟล์ Configuration,advanced_ml_protection_config.yaml,0.008,🟡 สำคัญ,✅ ควร commit
⚙️ ไฟล์ Configuration,agent_config.yaml,0.006,🟡 สำคัญ,✅ ควร commit
⚙️ ไฟล์ Configuration,config.yaml,0.004,🟡 สำคัญ,✅ ควร commit
⚙️ ไฟล์ Configuration,config_loader.py,0.003,🟡 สำคัญ,✅ ควร commit
⚙️ ไฟล์ Configuration,features_main.json,0.001,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
⚙️ ไฟล์ Configuration,logging_config.yaml,0.001,🟡 สำคัญ,✅ ควร commit
⚙️ ไฟล์ Configuration,ml_protection_config.yaml,0.006,🟡 สำคัญ,✅ ควร commit
⚙️ ไฟล์ Configuration,ml_protection_config_backup.yaml,0.006,🟡 สำคัญ,✅ ควร commit
⚙️ ไฟล์ Configuration,monitoring_config.yaml,0.002,🟡 สำคัญ,✅ ควร commit
⚙️ ไฟล์ Configuration,tracking_config.yaml,0.005,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,AUC_SOLUTION_SUMMARY.py,0.004,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,ProjectP.py,0.11,🔴 สำคัญมาก,✅ ควร commit
🐍 ไฟล์ Python หลัก,ProjectP_Complete.py,0.0,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,ProjectP_refactored.py,0.002,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,SOLUTION_SUMMARY.py,0.003,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,advanced_feature_engineering.py,0.016,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,advanced_ml_protection_cli.py,0.035,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,advanced_ml_protection_examples.py,0.043,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,advanced_ml_protection_system.py,0.043,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,advanced_protection_auto_setup.py,0.033,🔴 สำคัญมาก,✅ ควร commit
🐍 ไฟล์ Python หลัก,agent_examples.py,0.011,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,analyze_results.py,0.008,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,auc_improvement_pipeline.py,0.051,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,auto_setup_protection.py,0.025,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,automation.py,0.002,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,check_versions.py,0.002,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,colab_auto_setup.py,0.005,🔴 สำคัญมาก,✅ ควร commit
🐍 ไฟล์ Python หลัก,complete_model_training.py,0.013,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,dashboard_app.py,0.014,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,deep_learning.py,0.004,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,demo_protection_integration.py,0.008,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,enhanced_agent_demo.py,0.008,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,enhanced_preprocess.py,0.026,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,enterprise_setup_tracking.py,0.023,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,environment_setup.py,0.022,🔴 สำคัญมาก,✅ ควร commit
🐍 ไฟล์ Python หลัก,explainability.py,0.003,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,fast_projectp.py,0.01,🔴 สำคัญมาก,✅ ควร commit
🐍 ไฟล์ Python หลัก,feature_engineering.py,0.071,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,final_success_analysis.py,0.007,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,final_validation.py,0.009,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,init_tracking_system.py,0.021,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,integrated_auc_system.py,0.018,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,main.py,0.013,🔴 สำคัญมาก,✅ ควร commit
🐍 ไฟล์ Python หลัก,ml_protection_cli.py,0.021,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,ml_protection_examples.py,0.015,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,ml_protection_quickstart.py,0.008,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,ml_protection_system.py,0.041,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,ml_protection_usage_examples.py,0.013,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,modeling.py,0.004,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,monitor_pipeline.py,0.002,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,multi_timeframe_loader.py,0.019,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,notify.py,0.001,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,pipeline_data_loader.py,0.004,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,pipeline_with_auc_integration.py,0.003,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,project_migration.py,0.036,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,projectp_advanced_protection_integration.py,0.027,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,projectp_mode_controller.py,0.013,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,projectp_protection_integration.py,0.017,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,projectp_status.py,0.008,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,projectp_tracking_integration.py,0.014,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,qa_output_default.py,0.001,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,quick_diagnosis.py,0.002,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,quick_migration.py,0.015,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,quick_nan_auc_diagnosis.py,0.006,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,real_data_integration.py,0.011,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,real_data_loader.py,0.014,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,risk_metrics.py,0.002,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,robustness.py,0.003,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,safe_projectp.py,0.003,🔴 สำคัญมาก,✅ ควร commit
🐍 ไฟล์ Python หลัก,serve_app.py,0.0,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,serving.py,0.001,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,setup.py,0.001,🔴 สำคัญมาก,✅ ควร commit
🐍 ไฟล์ Python หลัก,setup_new_environment.py,0.02,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,setup_tracking.py,0.01,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,show_order_progress.py,0.002,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,smart_import_handler.py,0.005,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,threshold_optimization.py,0.006,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,tracking.py,0.028,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,tracking_cli.py,0.015,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,tracking_examples.py,0.021,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,tracking_integration.py,0.015,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,train.py,0.012,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,ultimate_integration_summary.py,0.007,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,versioning.py,0.001,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,visualization_dashboard.py,0.001,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,wfv_orchestrator.py,0.003,🟡 สำคัญ,✅ ควร commit
🐍 ไฟล์ Python หลัก,wfv_runner.py,0.002,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,backtest_engine.py,0.029,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,direct_prediction_test.py,0.002,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,fast_integration_test.py,0.007,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,final_validation_test.py,0.006,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,final_verification_test.py,0.005,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,profile_backtest.py,0.009,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,quick_pipeline_test.py,0.007,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,quick_production_test.py,0.006,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,quick_real_data_test.py,0.008,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,quick_test.py,0.007,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,quick_test_multiclass.py,0.002,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,run_auc_test.bat,0.0,🟢 ปานกลาง,🤔 ตรวจสอบเพิ่มเติม
🧪 ไฟล์ Test,run_debug_tests.py,0.002,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,run_production_test.py,0.004,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,run_single_test.py,0.001,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,run_test.bat,0.0,🟢 ปานกลาง,🤔 ตรวจสอบเพิ่มเติม
🧪 ไฟล์ Test,run_tests.py,0.006,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,run_tests_enhanced.py,0.013,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,run_tests_with_fix.py,0.014,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,run_unittest_with_monitor.py,0.014,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,simple_auc_test.py,0.006,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,simple_import_test.py,0.003,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,simple_protection_test.py,0.003,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_agent.py,0.001,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_all_modes.py,0.004,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_auc_fixes.py,0.001,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_auc_issue.py,0.004,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_backtest_engine_fix.py,0.005,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_emergency_fix.py,0.002,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_enhanced_agent.py,0.009,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_evidently.py,0.001,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_evidently_fix.py,0.008,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_feature_names_fix.py,0.003,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_final_pipeline.py,0.008,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_fix_target.py,0.003,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_fixed_pipeline.py,0.001,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_full_pipeline.py,0.001,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_helpers.py,0.001,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_integration.py,0.005,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_integration_safe.py,0.012,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_ml_import.py,0.0,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_ml_protection.py,0.005,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_nan_fix.py,0.002,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_pipeline.py,0.003,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_pipeline_fix.py,0.001,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_pipeline_functions.py,0.003,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_predict_multiclass.py,0.006,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_projectp_fix.py,0.004,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_projectp_quick.py,0.007,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_projectp_real_data.py,0.007,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_projectp_simple.py,0.001,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_runner.py,0.001,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_simple_emergency_fix.py,0.004,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_simple_nan.py,0.002,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_ultimate_fixes.py,0.002,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_ultimate_pipeline.py,0.007,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_ultimate_run.py,0.002,🟡 สำคัญ,✅ ควร commit
🧪 ไฟล์ Test,test_walkforward_diagnostic.py,0.004,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,ProjectP_fixed.py,0.02,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,auc_emergency_patch.py,0.013,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,basic_auc_fix.py,0.009,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,circular_import_fix.py,0.009,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,complete_final_fix.py,0.025,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,complete_projectp_fix.py,0.008,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,comprehensive_auc_fix.py,0.015,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,comprehensive_fallback_fix.py,0.02,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,comprehensive_import_fix.py,0.017,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,critical_auc_fix.py,0.018,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,critical_nan_auc_fix.py,0.018,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,emergency_auc_fix.py,0.011,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,emergency_auc_hotfix.py,0.011,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,emergency_fallbacks.py,0.006,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,emergency_nan_auc_fix.py,0.015,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,enterprise_production_fix.py,0.0,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,evidently_v0430_fix.py,0.008,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,final_ultimate_fix.py,0.028,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,fix_all_imports.py,0.011,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,fix_auc_instant.bat,0.002,🟢 ปานกลาง,🤔 ตรวจสอบเพิ่มเติม
🔧 ไฟล์ Fix และ Patch,fix_auc_instant.sh,0.003,🟢 ปานกลาง,🤔 ตรวจสอบเพิ่มเติม
🔧 ไฟล์ Fix และ Patch,fix_auc_now.py,0.008,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,fix_evidently_0430.py,0.011,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,fix_nan_auc.bat,0.001,🟢 ปานกลาง,🤔 ตรวจสอบเพิ่มเติม
🔧 ไฟล์ Fix และ Patch,fix_pydantic_secretfield.py,0.004,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,fix_target_values.py,0.004,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,fix_yaml_encoding.py,0.004,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,fixed_evidently_compat.py,0.006,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,integrated_emergency_fixes.py,0.025,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,production_auc_critical_fix.py,0.025,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,production_auc_fix.py,0.024,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,production_class_imbalance_fix.py,0.017,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,production_class_imbalance_fix_clean.py,0.016,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,production_class_imbalance_fix_v2.py,0.019,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,production_complete_fix.py,0.0,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,professional_pipeline_fix.py,0.01,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,pydantic_fallback.py,0.001,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,quick_auc_fix.py,0.004,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,quick_emergency_fix.py,0.008,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,quick_fallback_fix.py,0.0,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,quick_production_fix.py,0.009,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,real_data_patch.py,0.002,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,run_auc_emergency_fix.bat,0.002,🟢 ปานกลาง,🤔 ตรวจสอบเพิ่มเติม
🔧 ไฟล์ Fix และ Patch,run_complete_fix.py,0.0,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,run_comprehensive_fix.bat,0.0,🟢 ปานกลาง,🤔 ตรวจสอบเพิ่มเติม
🔧 ไฟล์ Fix และ Patch,run_emergency_fix.bat,0.0,🟢 ปานกลาง,🤔 ตรวจสอบเพิ่มเติม
🔧 ไฟล์ Fix และ Patch,run_projectp_fixed.py,0.003,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,run_ultimate_fix.bat,0.0,🟢 ปานกลาง,🤔 ตรวจสอบเพิ่มเติม
🔧 ไฟล์ Fix และ Patch,simple_fix.bat,0.0,🟢 ปานกลาง,🤔 ตรวจสอบเพิ่มเติม
🔧 ไฟล์ Fix และ Patch,sklearn_fallback.py,0.003,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,sklearn_patch.py,0.0,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,ultimate_class_balance_fix.py,0.0,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,ultimate_fix.py,0.015,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,ultimate_import_fix.py,0.012,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,ultimate_nan_auc_fix.py,0.0,🟡 สำคัญ,✅ ควร commit
